tconst	averageRating	numVotes
tt0000001	5.7	1811
tt0000002	6.0	233
tt0000003	6.5	1563
tt0000004	6.0	152
tt0000005	6.2	2386
tt0000006	5.1	156
tt0000007	5.4	745
tt0000008	5.5	1967
tt0000009	5.8	190
tt0000010	6.9	6537
tt0000011	5.2	322
tt0000012	7.4	11200
tt0000013	5.8	1724
tt0000014	7.1	5030
tt0000015	6.2	949
tt0000016	5.9	1325
tt0000017	4.6	291
tt0000018	5.4	537
tt0000019	5.3	28
tt0000020	4.9	313
tt0000022	5.1	992
tt0000023	5.7	1275
tt0000024	4.3	79
tt0000025	4.2	38
tt0000026	5.7	1419
tt0000027	5.6	1033
tt0000028	5.2	961
tt0000029	6.0	3096
tt0000030	5.2	765
tt0000031	5.5	925
tt0000032	5.0	377
tt0000033	5.6	939
tt0000034	5.1	177
tt0000035	5.5	73
tt0000036	4.4	564
tt0000037	4.6	55
tt0000038	4.2	183
tt0000039	3.6	24
tt0000040	4.3	58
tt0000041	6.7	1647
tt0000042	4.5	34
tt0000043	3.5	29
tt0000044	4.4	39
tt0000045	4.5	29
tt0000046	4.2	31
tt0000047	3.6	31
tt0000048	4.8	163
tt0000049	5.3	42
tt0000050	4.2	30
tt0000051	3.7	31
tt0000052	4.4	84
tt0000053	2.8	16
tt0000054	5.3	30
tt0000055	3.7	27
tt0000056	3.2	20
tt0000057	4.4	28
tt0000058	4.3	28
tt0000059	3.5	24
tt0000060	7.7	82
tt0000061	4.1	22
tt0000062	6.4	181
tt0000063	3.5	23
tt0000064	3.2	24
tt0000065	3.4	24
tt0000066	3.4	24
tt0000067	5.9	53
tt0000068	3.6	27
tt0000069	4.8	409
tt0000070	6.4	2474
tt0000071	3.5	26
tt0000072	4.2	24
tt0000073	3.6	27
tt0000074	4.6	28
tt0000075	6.3	1751
tt0000076	4.5	499
tt0000077	4.8	30
tt0000078	3.9	67
tt0000079	4.4	32
tt0000080	4.1	28
tt0000081	4.2	29
tt0000082	4.8	46
tt0000083	4.5	30
tt0000084	4.4	27
tt0000085	4.7	28
tt0000086	4.2	30
tt0000087	4.8	34
tt0000088	4.7	29
tt0000089	6.2	920
tt0000090	4.0	28
tt0000091	6.7	3173
tt0000092	4.6	26
tt0000093	4.8	89
tt0000094	4.5	27
tt0000095	4.8	31
tt0000096	4.5	26
tt0000097	4.9	31
tt0000098	5.5	33
tt0000099	4.7	29
tt0000100	5.0	47
